Frame,Vehicles,Average Speed,Queued Vehicles,Congestion Score,Violations,Priority Lane,Lane 1 Vehicles,Lane 2 Vehicles,Lane 3 Vehicles
1,6,0.0,6,47.5,0,1,0,3,3
2,6,11.55,0,25.45,0,1,0,3,3
3,7,15.83,3,28.42,1,2,0,4,3
4,7,27.32,2,17.5,2,2,0,4,3
5,6,68.54,0,12.0,2,1,0,3,3
6,6,34.17,0,12.0,2,1,0,3,3
7,6,48.79,0,12.0,2,1,0,3,3
8,5,30.12,0,10.0,2,1,0,3,2
9,5,11.82,2,26.68,2,1,0,3,2
10,5,23.48,0,11.52,2,1,0,3,2
11,5,19.03,0,15.97,2,1,0,3,2
12,6,20.21,0,16.79,2,1,0,3,3
13,6,42.57,1,13.75,2,1,0,3,3
14,5,21.6,1,15.15,2,1,0,3,2
15,6,49.39,1,13.75,2,1,0,3,3
16,5,26.12,2,13.5,3,1,1,2,2
17,6,37.17,0,12.0,3,1,0,3,3
18,6,23.09,0,13.91,3,1,0,3,3
19,6,18.73,0,18.27,3,1,0,3,3
20,6,15.15,0,21.85,3,1,0,3,3
21,5,10.43,1,26.32,3,1,0,3,2
22,5,15.63,0,19.37,3,1,0,3,2
23,6,60.43,0,12.0,4,2,0,4,2
24,6,82.27,1,13.75,4,1,1,3,2
25,6,50.4,0,12.0,4,1,1,3,2
26,6,37.42,0,12.0,4,1,1,3,2
27,5,33.01,1,11.75,4,1,1,2,2
28,5,13.99,1,22.76,4,1,1,2,2
29,5,22.95,0,12.05,4,1,1,2,2
30,8,62.66,2,19.5,4,1,1,3,3
